"id","title","content","category","doc_type","doc_number","agency","published_date","url","crawled_at"
Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ

169.600

172.600

Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ

169.600

172.700

Nữ trang 99,99%

167.600

171.100

*Lưu ý:  Giá vàng có thể thay đổi theo từng giờ vì vậy người mua nên theo dõi cập nhật liên tục hoặc liên hệ trực tiếp cửa hàng để biết mức giá chính xác tại thời điểm giao dịch.

* Trên đây là Thông tin về Giá vàng SJC 9999 hôm nay 7 4 2026 bao nhiêu tiền 1 chỉ tại cửa hàng?

Giá vàng SJC 9999 hôm nay 7 4 2026 bao nhiêu tiền 1 chỉ tại cửa hàng?(Hình từ Internet)

Căn cứ theo Điều 7  Thông tư 06/2013/TT-NHNN   quy định như sau:

Điều 7. Hình thức mua, bán vàng miếng

1. Mua, bán vàng miếng trực tiếp;

2. Mua, bán vàng miếng qua đấu thầu theo giá hoặc đấu thầu theo khối lượng.

Như vậy, có 02 hình thức mua, bán vàng miếng của Ngân hàng Nhà nước gồm:

- Mua, bán vàng miếng trực tiếp;

- Mua, bán vàng miếng qua đấu thầu theo giá hoặc đấu thầu theo khối lượng.

Căn cứ theo Điều 5  Thông tư 06/2013/TT-NHNN  được sửa đổi bởi khoản 1 Điều 1  Thông tư 12/2015/TT-NHNN  quy định như sau:

Điều 5. Tạm ngừng giao dịch, hủy quan hệ giao dịch mua, bán vàng miếng

1. Trừ trường hợp tổ chức tín dụng bị đặt trong tình trạng kiểm soát đặc biệt, Ngân hàng Nhà nước tạm ngừng giao dịch mua, bán vàng miếng với tổ chức tín dụng, doanh nghiệp 03 (ba) tháng kể từ thời điểm phát hiện một trong các hành vi vi phạm sau:

a) Tổ chức tín dụng, doanh nghiệp vi phạm nghĩa vụ ký xác nhận giao dịch theo quy trình mua bán vàng miếng với Ngân hàng Nhà nước;

b) Tổ chức tín dụng, doanh nghiệp vi phạm nghĩa vụ thanh toán, giao, nhận vàng miếng theo xác nhận giao dịch với Ngân hàng Nhà nước 03 (ba) lần;

c) Tổ chức tín dụng, doanh nghiệp vi phạm 03 (ba) lần các quy định về thông tin, báo cáo tại Thông tư này;

d) Tổ chức tín dụng, doanh nghiệp bị phạt vi phạm hành chính trong hoạt động kinh doanh vàng.

2. Đối với tổ chức tín dụng bị đặt trong tình trạng kiểm soát đặc biệt:

a) Ngân hàng Nhà nước tạm ngừng giao dịch mua, bán vàng miếng với tổ chức tín dụng trong thời gian tổ chức tín dụng bị đặt trong tình trạng kiểm soát đặc biệt, trừ trường hợp quy định tại điểm b khoản này;

b) Căn cứ tình hình thực tế của tổ chức tín dụng bị đặt trong tình trạng kiểm soát đặc biệt, Ban kiểm soát đặc biệt tại tổ chức tín dụng có văn bản đề nghị Ngân hàng Nhà nước Việt Nam (thông qua Cơ quan Thanh tra, giám sát ngân hàng) cho phép tổ chức tín dụng giao dịch mua, bán vàng miếng với Ngân hàng Nhà nước, chấm dứt cho phép tổ chức tín dụng giao dịch mua, bán vàng miếng với Ngân hàng Nhà nước.

3. Ngân hàng Nhà nước hủy quan hệ giao dịch mua, bán vàng miếng với tổ chức tín dụng, doanh nghiệp trong các trường hợp sau:

a) Tổ chức tín dụng, doanh nghiệp bị thu hồi Giấy phép thành lập và hoạt động hoặc Giấy chứng nhận đăng ký kinh doanh, Giấy chứng nhận đăng ký doanh nghiệp.

b) Tổ chức tín dụng, doanh nghiệp bị thu hồi Giấy phép kinh doanh mua, bán vàng miếng.

4. Tổ chức tín dụng, doanh nghiệp không được thiết lập lại quan hệ giao dịch mua, bán vàng miếng với Ngân hàng Nhà nước trong thời hạn 01 (một) năm kể từ ngày bị hủy quan hệ giao dịch mua, bán vàng miếng. Hồ sơ, thủ tục thiết lập lại quan hệ giao dịch mua, bán vàng miếng với Ngân hàng Nhà nước của tổ chức tín dụng, doanh nghiệp được thực hiện theo thủ tục quy định tại Điều 3 Thông tư này.

Như vậyNgân hàng Nhà nước hủy quan hệ giao dịch mua, bán vàng miếng với tổ chức tín dụng, doanh nghiệp trong các trường hợp sau:

- Tổ chức tín dụng, doanh nghiệp bị thu hồi Giấy phép thành lập và hoạt động hoặc Giấy chứng nhận đăng ký kinh doanh, Giấy chứng nhận đăng ký doanh nghiệp.

- Tổ chức tín dụng, doanh nghiệp bị thu hồi Giấy phép kinh doanh mua, bán vàng miếng.

Trên đây là Thông tin về Giá vàng SJC 9999 hôm nay 7 4 2026 bao nhiêu tiền 1 chỉ tại cửa hàng?","","","","","2026-04-07","https://thuvienphapluat.vn/hoi-dap-phap-luat/gia-vang-sjc-9999-hom-nay-742026-bao-nhieu-tien-1-chi-tai-cua-hang-138086341.html","2026-04-08T16:10:17.245841+00:00"
"138086335","","","","","","","","https://thuvienphapluat.vn/hoi-dap-phap-luat/gia-vang-sjc-ngay-742026-vang-9999-hom-nay-bao-nhieu-tien-1-chi-138086335.html","2026-04-08T16:10:23.899883+00:00"
"138086224","","","","","","","","https://thuvienphapluat.vn/hoi-dap-phap-luat/cap-nhat-gia-vang-sang-nay-ngay-74-bao-nhieu-tien-mot-chi-138086224.html","2026-04-08T16:10:30.710681+00:00"
"138086225","","","","","","","","https://thuvienphapluat.vn/hoi-dap-phap-luat/bang-gia-vang-sjc-742026-bao-nhieu-1-luong-138086225.html","2026-04-08T16:10:37.757831+00:00"
"138086346","","","","","","","","https://thuvienphapluat.vn/hoi-dap-phap-luat/gia-vang-toan-quoc-hom-nay-742026-bao-nhieu-tien-mot-luong-138086346.html","2026-04-08T16:10:44.845203+00:00"
"138086324","Bảng giá vàng ngày 7/4/2026 bao nhiêu tiền 1 lượng, 1 chỉ?","Căn cứ theo khoản 1 Điều 9  Nghị định 24/2012/NĐ-CP  quy định doanh nghiệp kinh doanh mua, bán vàng trang sức, mỹ nghệ có trách nhiệm niêm yết công khai tại địa điểm giao dịch về khối lượng, hàm lượng vàng, giá mua, giá bán các loại sản phẩm vàng trang sức, mỹ nghệ và chịu trách nhiệm trước pháp luật về chất lượng sản phẩm bán ra thị trường.

>>> Dưới đây là  bảng giá vàng hôm nay cập nhật mới nhất :

Bảng Giá vàng hôm nay 7/4/2026:

Đơn vị tính: Triệu VNĐ đồng/lượng

Giá vàng  SJC  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

Vàng SJC 1L, 10L, 1KG

170.100

173.100

Vàng SJC 5 chỉ

170.100

173.120

Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ

170.100

173.130

Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ

169.600

172.600

Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ

169.600

172.700

Nữ trang 99,99%

167.600

171.100

Nữ trang 99%

162.906

169.406

Nữ trang 75%

119.588

128.488

Nữ trang 68%

107.610

116.510

Nữ trang 61%

95.631

104.531

Nữ trang 58,3%

91.011

99.911

Nữ trang 41,7%

62.606

71.506

Giá vàng  DOJI HCM  Ngày 07-04-2026  07:50

Loại vàng

Mua vào

Bán ra

SJC Lẻ

170.100

173.100

AVPL

170.100

173.100

Nhẫn tròn 999 Hưng Thịnh Vượng

170.000

173.100

Nữ trang 99.99

167.500

171.500

Nữ trang 99.9

167.000

171.000

Nữ trang 99

166.300

170.800

Giá vàng  PNJ  Ngày 06-04-2026  22:15

Loại vàng

Mua vào

Bán ra

Nhẫn Trơn PNJ 999.9

169.000

172.000

Vàng Kim Bảo 999.9

169.000

172.000

Vàng Phúc Lộc Tài 999.9

169.000

172.000

Vàng nữ trang 999.9

166.500

170.500

Vàng nữ trang 999

166.330

170.330

Vàng nữ trang 9920

162.940

169.140

Vàng nữ trang 99

162.600

168.800

Vàng 916 (22K)

149.980

156.180

Vàng 750 (18K)

118.980

127.880

Vàng 680 (16.3K)

107.040

115.940

Vàng 650 (15.6K)

101.930

110.830

Vàng 610 (14.6K)

95.110

104.010

Vàng 585 (14K)

90.840

99.740

Vàng 416 (10K)

62.030

70.930

Vàng 375 (9K)

55.040

63.940

Vàng 333 (8K)

47.880

56.780

Giá vàng  Mi Hồng  Ngày 07-04-2026  07:55

Loại vàng

Mua vào

Bán ra

Vàng miếng SJC

170.700

172.700

Vàng 99,9%

170.700

172.700

Vàng 9T85 (98,5%)

151.500

154.500

Vàng 9T8 (98,0%)

150.700

153.700

Vàng 95 (95,0%)

146.000

-

Vàng V75 (75,0%)

108.000

112.000

Vàng V68 (68,0%)

96.500

100.500

Vàng 6T1 (61,0%)

93.500

97.500

Vàng 14K (58,0%)

87.500

91.500

Vàng 10K (41,0%)

60.500

64.500

Đơn vị:

- 1 lượng (cây) = 10 chỉ

- Giá trên là giá niêm yết vàng miếng

*Lưu ý:  Giá vàng có thể thay đổi theo từng giờ vì vậy người mua nên theo dõi cập nhật liên tục hoặc liên hệ trực tiếp cửa hàng để biết mức giá chính xác tại thời điểm giao dịch.

*Trên đây là Bảng giá vàng ngày 7 4 2026 bao nhiêu tiền 1 lượng, 1 chỉ?

Bảng giá vàng ngày 7 4 2026 bao nhiêu tiền 1 lượng, 1 chỉ? (Hình từ Internet)

Căn cứ theo quy định tại Điều 6  Nghị định 24/2012/NĐ-CP  được bổ sung bởi khoản 5 Điều 1  Nghị định 232/2025/NĐ-CP , doanh nghiệp hoạt động sản xuất vàng trang sức, mỹ nghệ có các trách nhiệm như sau:

Điều 6. Trách nhiệm của doanh nghiệp hoạt động sản xuất vàng trang sức, mỹ nghệ

1. Thực hiện đóng mã ký hiệu và hàm lượng vàng trên sản phẩm, công bố tiêu chuẩn áp dụng, khối lượng của sản phẩm theo quy định pháp luật và chịu trách nhiệm trước pháp luật về tiêu chuẩn công bố áp dụng và khối lượng sản phẩm đã công bố do doanh nghiệp sản xuất.

2. Chịu trách nhiệm trước pháp luật về tiêu chuẩn công bố áp dụng và khối lượng sản phẩm do doanh nghiệp thuê gia công.

3. Chấp hành các quy định của pháp luật về chế độ kế toán, lập và sử dụng hóa đơn, chứng từ.

4. Có phương án bảo đảm an toàn trong hoạt động sản xuất kinh doanh, bảo vệ môi trường và phòng chống cháy nổ.

5. Bảo đảm duy trì các điều kiện quy định tại Khoản 1 Điều 5 Nghị định này.

5a. Khi bán vàng nguyên liệu mua từ doanh nghiệp, ngân hàng thương mại quy định tại Điều 11a Nghị định này phải lập và sử dụng hóa đơn điện tử theo quy định của pháp luật; lưu trữ đầy đủ, chính xác dữ liệu giao dịch bán vàng nguyên liệu; thực hiện kết nối cung cấp thông tin cho Ngân hàng Nhà nước theo quy định của Thống đốc Ngân hàng Nhà nước

6. Tuân thủ các quy định tại Nghị định này và các quy định của pháp luật khác có liên quan.

Như vậy, Doanh nghiệp hoạt động sản xuất vàng trang sức, mỹ nghệ có trách nhiệm sau:

- Thực hiện đóng mã ký hiệu và hàm lượng vàng trên sản phẩm, công bố tiêu chuẩn áp dụng, khối lượng của sản phẩm theo quy định pháp luật và chịu trách nhiệm trước pháp luật về tiêu chuẩn công bố áp dụng và khối lượng sản phẩm đã công bố do doanh nghiệp sản xuất.

- Chịu trách nhiệm trước pháp luật về tiêu chuẩn công bố áp dụng và khối lượng sản phẩm do doanh nghiệp thuê gia công.

- Chấp hành các quy định của pháp luật về chế độ kế toán, lập và sử dụng hóa đơn, chứng từ.

- Có phương án bảo đảm an toàn trong hoạt động sản xuất kinh doanh, bảo vệ môi trường và phòng chống cháy nổ.

- Bảo đảm duy trì các điều kiện quy định tại khoản 1 Điều 5  Nghị định 24/2012/NĐ-CP .

- Khi bán vàng nguyên liệu mua từ doanh nghiệp, ngân hàng thương mại quy định tại Điều 11a  Nghị định 24/2012/NĐ-CP  phải lập và sử dụng hóa đơn điện tử theo quy định của pháp luật; lưu trữ đầy đủ, chính xác dữ liệu giao dịch bán vàng nguyên liệu; thực hiện kết nối cung cấp thông tin cho Ngân hàng Nhà nước theo quy định của Thống đốc Ngân hàng Nhà nước.

- Tuân thủ các quy định tại  Nghị định 24/2012/NĐ-CP  và các quy định của pháp luật khác có liên quan.

Căn cứ theo Điều 10  Nghị định 24/2012/NĐ-CP  quy định về quản lý hoạt động kinh doanh mua bán vàng miếng như sau:

Điều 10. Quản lý hoạt động kinh doanh mua, bán vàng miếng

